date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:10	113165/113165	---M--	200	added ('OK')	image/jpeg	etag:%221ba0d-5bcddf87bf9d4%22	https://preview.colorlib.com/theme/yogabest/images/trainer-4.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/trainer-4.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:10	246157/246157	---M--	200	added ('OK')	image/jpeg	etag:%223c18d-5bcddf72321b4%22	https://preview.colorlib.com/theme/yogabest/images/trainer-3.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/trainer-3.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:10	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bcddf6bc49e9%22	https://preview.colorlib.com/theme/yogabest/images/person_2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/person_2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:11	19594/19594	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Mar%202021%2012:49:50%20GMT	https://preview.colorlib.com/theme/yogabest/blog-single.html	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/blog-single.html	(from https://preview.colorlib.com/theme/yogabest/)
17:05:13	114482/114482	---M--	200	added ('OK')	image/jpeg	etag:%221bf32-5bcddf695e5e9%22	https://preview.colorlib.com/theme/yogabest/images/image_1.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_1.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:15	72179/72179	---M--	200	added ('OK')	image/jpeg	etag:%22119f3-5bcddf67b979f%22	https://preview.colorlib.com/theme/yogabest/images/image_2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:18	166855/166855	---M--	200	added ('OK')	image/jpeg	etag:%2228bc7-5bcddf78bce3c%22	https://preview.colorlib.com/theme/yogabest/images/trainer-2.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/trainer-2.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:19	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265b38a27-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:23	197983/197983	---M--	200	added ('OK')	image/jpeg	etag:%223055f-5bcddf684afb8%22	https://preview.colorlib.com/theme/yogabest/images/image_3.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_3.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:05:27	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:%2241706-5bcddf8ec37d6-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:28	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:%222c9d-5bcddfa7edca6-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery-migrate-3.0.1.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery-migrate-3.0.1.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:33	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:%224a58-5bcddf9cb3cdc-gzip%22	https://preview.colorlib.com/theme/yogabest/js/popper.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/popper.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:37	60044/60044	---M-Z	200	added ('OK')	application/javascript	etag:%22ea8c-5bcddf933049b-gzip%22	https://preview.colorlib.com/theme/yogabest/js/bootstrap.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:39	8111/8111	---M-Z	200	added ('OK')	application/javascript	etag:%221faf-5bcddf8e39cbe-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.easing.1.3.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.easing.1.3.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:39	8835/8835	---M-Z	200	added ('OK')	application/javascript	etag:%222283-5bcddfa2e2caa-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.waypoints.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.waypoints.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:41	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%223135-5bcddf9114417-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.stellar.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.stellar.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:44	43237/43237	---M-Z	200	added ('OK')	application/javascript	etag:%22a8e5-5bcddf8fd2f88-gzip%22	https://preview.colorlib.com/theme/yogabest/js/owl.carousel.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:53	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-5bcddf8c650d6-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.magnific-popup.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.magnific-popup.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:54	1391/1391	---M-Z	200	added ('OK')	application/javascript	etag:%2256f-5bcddfa129641-gzip%22	https://preview.colorlib.com/theme/yogabest/js/jquery.animateNumber.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/jquery.animateNumber.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:55	7447/7447	---M-Z	200	added ('OK')	application/javascript	etag:%221d17-5bcddf9b68c0e-gzip%22	https://preview.colorlib.com/theme/yogabest/js/scrollax.min.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/scrollax.min.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:57	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2279a-5bcddf8d62f49-gzip%22	https://preview.colorlib.com/theme/yogabest/js/google-map.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/google-map.js	(from https://preview.colorlib.com/theme/yogabest/)
17:05:58	5381/5381	---M-Z	200	added ('OK')	application/javascript	etag:%221505-5bcddf8faaeea-gzip%22	https://preview.colorlib.com/theme/yogabest/js/main.js	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/js/main.js	(from https://preview.colorlib.com/theme/yogabest/)
17:06:00	54127/54127	---M-Z	200	added ('OK')	text/css	etag:%22d36f-5c1f9fed613c7-gzip%22	https://preview.colorlib.com/theme/yogabest/css/animate.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/animate.css	(from https://preview.colorlib.com/theme/yogabest/)
17:06:05	2308/2308	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2011:36:04%20GMT	https://preview.colorlib.com/theme/yogabest/css/owl.video.play.png	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/owl.video.play.35.delayed	(from https://preview.colorlib.com/theme/yogabest/css/owl.carousel.min.css)
17:06:08	1379/1379	---M-Z	200	added ('OK')	text/css	etag:%22563-5c1f9fed62367-gzip%22	https://preview.colorlib.com/theme/yogabest/css/flaticon.css	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/css/flaticon.css	(from https://preview.colorlib.com/theme/yogabest/)
17:06:38	66267/66267	---M--	200	added ('OK')	image/jpeg	etag:%22102db-5bcddf6b8330d%22	https://preview.colorlib.com/theme/yogabest/images/image_5.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_5.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
17:06:40	83867/83867	---M--	200	added ('OK')	image/jpeg	etag:%221479b-5bcddf6cb7c7d%22	https://preview.colorlib.com/theme/yogabest/images/image_6.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_6.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
17:06:44	119266/119266	---M--	200	added ('OK')	image/jpeg	etag:%221d1e2-5bcddf6a8c1fa%22	https://preview.colorlib.com/theme/yogabest/images/image_4.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/image_4.jpg	(from https://preview.colorlib.com/theme/yogabest/blog.html)
17:06:49	7318/7318	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221c96-5bcdf72df5c88%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/yogabest/css/flaticon.css)
17:06:52	7318/7318	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221c96-5bcdf72df5c88%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.eot?	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/yogabest/css/flaticon.css)
17:06:52	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bcddf6a1bd20%22	https://preview.colorlib.com/theme/yogabest/images/person_3.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/person_3.jpg	(from https://preview.colorlib.com/theme/yogabest/)
17:06:55	4928/4928	---M--	200	added ('OK')	font/woff	etag:%221340-5bcdf72e28905%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.woff	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/yogabest/css/flaticon.css)
17:07:06	41754/41754	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a31a-5bcdf73141864%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.svg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/yogabest/css/flaticon.css)
17:07:15	7140/7140	---MCZ	200	added ('OK')	font/ttf	etag:W/%221be4-5bcdf72eda4be%22	https://preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.ttf	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/yogabest/css/flaticon.css)
17:08:12	91832/91832	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22166b8-5bcddf654a700%22	https://preview.colorlib.com/theme/yogabest/images/bg_4.jpg	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/bg_4.jpg	(from https://preview.colorlib.com/theme/yogabest/about.html)
17:09:54	4290219/4290219	UR-M--	200	added ('Partial%20Content')	image/png	etag:%224176ab-5bcddf82a9df8%22	https://preview.colorlib.com/theme/yogabest/images/about.png	C:/Users/HP/OneDrive/Desktop/radiant34/preview.colorlib.com/theme/yogabest/images/about.png	(from https://preview.colorlib.com/theme/yogabest/)
